"dbID";"planeID";"ADSHEX";"longitude";"latitude";"altitude";"radarID";"aircraft";"departing";"destination";"dateTime"
47;"8e2fc30";"8A03AE";-6.7832;111.0431;37050.0;"F-WIIS3";"A320";"CGK";"UPG";"2016-02-22 14:21:24"
48;"8e25757";"78030E";-6.4554;136.2193;38000.0;"F-WABP1";"A332";"AKL";"CAN";"2016-02-22 14:21:24"
49;"8e2d055";"AAB04C";37.9528;-91.3839;38999.0;"T-MLAT2";"B737";"MEX";"ORD";"2016-02-22 14:21:24"
50;"8e2dcfe";"895053";24.0375;70.7204;41000.0;"F-VAAH5";"B788";"DXB";"BWN";"2016-02-22 14:21:24"
51;"8e2e9be";"A993FE";43.9805;-82.209;40000.0;"F-CYYZ4";"B737";"BOS";"MSP";"2016-02-22 14:21:24"
52;"8e2d058";"E4910E";10.6288;-66.0875;37000.0;"F-SVMI1";"A332";"FLL";"VCP";"2016-02-22 14:21:24"
53;"8e2dd84";"AAE6CD";24.2068;-76.4645;37000.0;"F-MYNN1";"B738";"MIA";"SJU";"2016-02-22 14:21:24"
54;"8e2f43f";"86835A";30.9651;131.1981;39975.0;"F-RJFM1";"B772";"ITM";"OKA";"2016-02-22 14:21:24"
55;"8e2f43c";"7500C8";9.1529;105.4595;39000.0;"F-VVCT1";"A333";"KUL";"TPE";"2016-02-22 14:21:24"
56;"8e2e6d0";"8622AE";31.3344;123.9301;38975.0;"F-ZSPD1";"B763";"CAN";"NRT";"2016-02-22 14:21:24"
57;"8e29e5a";"396442";35.2195;-43.4434;39000.0;"T-FAA1";"A332";"CCS";"CDG";"2016-02-22 14:21:24"
58;"8e2d57f";"780A73";30.9218;130.0605;37000.0;"F-RJFM1";"A320";"HKG";"NRT";"2016-02-22 14:21:24"
59;"8e2e18b";"800AFC";16.0464;79.7513;39000.0;"F-VOHS2";"B738";"DEL";"MAA";"2016-02-22 14:21:24"
60;"8e29f29";"A05A25";38.5439;-107.4785;38000.0;"F-K7V21";"B752";"EWR";"LAX";"2016-02-22 14:21:24"
61;"8e296df";"4BA9CA";29.133;64.4317;37000.0;"F-OIZB1";"A333";"IST";"KUL";"2016-02-22 14:21:24"
